# Summary generated on 2021-08-22 14:19:11.809884 UTC
#    Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#   Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
2459439.312200500630; 2021-08-12 19:29:34.123254;     7;  PER; 140.008184; 270.745252;  49.67570;  0.0857; +58.50902;  0.0103;  64.36960;  0.0523; +38.60615;  0.0209;  59.40546;  0.0450;  85.74546;  0.1352; +62.63525;  0.0334;  41.73785;  0.0406;   98.695753; 22.1705;   0.990477;  0.0036; 112.787373;  0.0279; 148.702337;   0.1803; 140.005927;   0.0000; 288.708264;  0.1803;   0.939907;  0.0007;  31.293581;  0.1803;   0.021689;  0.0147;  196.451598; 44.3405;   0.001005;  0.0007; 980.501656; 3.0e+02;  -0.411713;  0.0208;  48.98718;  0.0854; +59.00715;  0.0098;  21.38011;  0.0396;  19.82974;  0.0261;  60.54302;  0.0442;  60.28977;  0.0147;    45.230116;  0.0000;    16.846147;  0.0007; 127.5343;    0.04;    44.285512;  0.0003;    16.332579;  0.0006;  87.5477;    0.05;     2.13;  -3.05;  93.7019; 0.846; 1.38e-03; 18.28;        49.54;   True;   True;    5; HR000G,HR000N,HR000V,HR001Z,SI0002
2459439.312679510098; 2021-08-12 19:30:15.509672;     7;  PER; 140.008642; 269.782516;  47.19452;  0.0939; +57.16527;  0.0160;  62.21270;  0.0579; +37.78388;  0.0275;  59.52221;  0.0337;  80.17171;  0.1463; +62.26382;  0.0342;  41.20307;  0.0348;   16.629982;  1.1174;   0.942502;  0.0031; 114.447035;  0.0191; 152.112863;   0.1968; 140.006253;   0.0000; 292.119116;  0.1968;   0.956183;  0.0007;  27.883002;  0.1968;   0.286826;  0.0234;   32.303780;  2.2341;   0.014533;  0.0011;  67.816956;  7.2397;  -0.181533;  0.0174;  46.53591;  0.0935; +57.66607;  0.0153;  22.88103;  0.0439;  19.52998;  0.0327;  60.66710;  0.0332;  59.83389;  0.0161;    45.810436;  0.0001;    15.752367;  0.0003; 112.9454;    0.02;    45.443742;  0.0000;    15.532573;  0.0002;  97.1758;    0.02;     0.80;  -1.12; 105.1727; 0.493; 1.48e-04; 83.82;        41.59;   True;   True;    6; HR000K,HR000M,HR000N,HR000P,HR000V,HR001Z
2459439.313237811904; 2021-08-12 19:31:03.746949;     7;  PER; 140.009178; 267.359321;  50.55408;  0.2952; +59.99907;  0.2691;  65.55051;  0.2850; +39.86522;  0.2157;  59.45507;  0.2382;  89.29726;  0.5779; +63.71702;  0.0990;  42.50441;  0.3422;  -15.959916; 83.2041;   1.058636;  0.0302; 110.917999;  0.1844; 148.359871;   0.2624; 140.007022;   0.0000; 288.366893;  0.2624;   0.935827;  0.0012;  31.636098;  0.2624;        nan;     nan;  -32.855659; 1.7e+02;   0.015458;  0.0051;        nan;     nan;  -0.760538;  0.1676;  49.87737;  0.2991; +60.51882;  0.2636;  18.67945;  0.2573;  20.76383;  0.1836;  60.57896;  0.2341;  56.87823;  0.2016;    45.974436;  0.0004;    13.127679;  0.0004; 110.7194;    0.06;    45.831602;  0.0004;    13.058520;  0.0005; 104.2846;    0.05;     0.32;  +1.31; 106.8710; 0.598; 6.12e-06; 27.80;        29.59;   True;   True;    3; HR001L,HR001P,HR0021
2459439.313518494833; 2021-08-12 19:31:27.997954;     7;  PER; 140.009449; 270.885183;  46.35327;  0.4530; +59.66589;  0.0229;  62.81116;  0.2792; +40.28007;  0.0873;  58.37397;  0.0920;  84.28143;  0.7012; +65.78423;  0.1544;  41.38198;  0.0908;   23.001127; 10.8279;   0.958348;  0.0081; 110.387652;  0.0254; 152.701512;   0.7649; 140.007388;   0.0000; 292.708899;  0.7649;   0.958052;  0.0027;  27.294467;  0.7649;   0.172185;  0.0437;   45.044202; 21.6535;   0.008935;  0.0022; 110.312396; 1.0e+02;  -0.192080;  0.0459;  45.60215;  0.4524; +60.13297;  0.0226;  22.45405;  0.2095;  22.10561;  0.1206;  59.53221;  0.0903;  59.29897;  0.0532;    45.677323;  0.0009;    16.523303;  0.0030; 127.7071;    0.19;    44.633328;  0.0009;    15.920370;  0.0026;  77.5326;    0.13;     2.43;  -3.95;  93.4542; 0.683; 3.78e-03; 14.24;       138.59;   True;   True;    3; HR000N,IT0001,SI0002
2459439.313526160549; 2021-08-12 19:31:28.660271;     7;  PER; 140.009457; 270.947086;  46.65587;  0.0387; +59.72248;  0.0228;  63.02460;  0.0302; +40.27809;  0.0192;  58.60583;  0.0027;  84.58086;  0.0818; +65.58329;  0.0207;  41.61055;  0.0110;   45.263056;  2.5771;   0.978858;  0.0010; 110.495741;  0.0278; 152.572532;   0.0542; 140.007389;   0.0000; 292.579922;  0.0542;   0.956937;  0.0002;  27.423440;  0.0542;   0.062284;  0.0042;   89.569175;  5.1542;   0.003237;  0.0002; 304.520434; 27.3861;  -0.307436;  0.0049;  45.91491;  0.0387; +60.18640;  0.0227;  22.32275;  0.0263;  22.16433;  0.0172;  59.75846;  0.0027;  59.66135;  0.0162;    45.752889;  0.0001;    16.576140;  0.0003; 132.0858;    0.02;    44.628945;  0.0006;    15.931455;  0.0002;  78.0914;    0.04;     2.62;  -3.82;  93.3022; 0.718; 2.63e-03; 79.28;       112.87;   True;   True;    6; HR000D,HR000K,HR000M,HR000N,HR001H,SI0002
2459439.313830384985; 2021-08-12 19:31:54.945263;     7;  PER; 140.009747; 271.098537;  47.48090;  0.2373; +57.59105;  0.7464;  62.58132;  0.2677; +38.13123;  0.7270;  62.16906;  1.9456;  79.42447;  0.9181; +61.26982;  0.7109;  43.77692;  2.0114;   -5.364095; 14.2817;   1.179170;  0.1752; 115.524079;  0.8364; 154.797285;   3.4789; 140.007266;   0.0001; 294.804551;  3.4789;   0.961084;  0.0076;  25.198570;  3.4789;        nan;     nan;  -11.689275; 28.5655;   0.079334;  0.0741;        nan;     nan;  -1.516897;  0.9951;  46.84790;  0.2343; +58.04141;  0.7110;  22.96233;  0.3545;  18.78330;  0.6378;  63.27565;  1.9124;  58.98868;  1.0113;    44.350144;  0.0024;    16.652397;  0.0003; 108.2724;    0.27;    44.181335;  0.0010;    16.552973;  0.0001; 101.2688;    0.13;     0.36;  +0.79; 103.5214; 0.678; 9.97e-06; 18.51;        50.64;   True;   True;    2; HR000K,HR001H
2459439.314260083251; 2021-08-12 19:32:32.071193;     7;  PER; 140.010160; 290.819367;  46.39542;  0.3498; +57.61278;  0.0475;  61.89606;  0.2113; +38.35272;  0.0993;  59.02313;  0.7604;  80.13811;  0.9696; +63.35379;  0.2182;  40.97637;  0.7001;   12.329711; 3.3e+02;   0.922157;  0.0640; 113.459737;  0.3979; 152.864088;   1.3944; 140.008167;   0.0000; 292.872254;  1.3944;   0.959780;  0.0037;  27.132165;  1.3944;   0.440857;     nan;   23.699642; 6.6e+02;   0.022765;  0.0130;  43.294225;     nan;  -0.051962;  0.3614;  45.36978;  0.3177; +57.86429;  0.0405;  30.07797;  0.1003;  15.11559;  0.1511;  60.24889;  0.7477;  59.95852;  0.5604;    31.960643;  0.0022;    36.216939;  0.0022; 112.6692;    0.19;    31.479272;  0.0020;    35.891843;  0.0019;  96.0708;    0.17;     1.08;  -1.15; 102.1051; 0.636; 2.16e-04; 46.72;       107.80;   True;   True;    2; IL0002,IL0004
2459439.315291615203; 2021-08-12 19:34:01.195554;     7;  PER; 140.011150; 268.857205;  46.32195;  0.2202; +58.02911;  0.1204;  62.03609;  0.0997; +38.75630;  0.1488;  59.32861;  0.1997;  80.49176;  0.1449; +63.65476;  0.3168;  41.44541;  0.1234;   26.627723; 75.9801;   0.963911;  0.0111; 113.111105;  0.2998; 153.488057;   0.1354; 140.008794;   0.0000; 293.496851;  0.1354;   0.960978;  0.0008;  26.507892;  0.1354;   0.134396;  0.0476;   52.294468; 1.5e+02;   0.007173;  0.0025; 137.404729; 1.4e+03;  -0.277297;  0.0670;  45.57665;  0.2293; +58.53493;  0.1202;  22.11924;  0.0625;  18.12411;  0.1593;  60.47925;  0.1964;  58.16435;  0.0836;    43.472823;  0.0004;    13.884187;  0.0001; 108.1685;    0.03;    43.290679;  0.0004;    13.782779;  0.0002; 100.9435;    0.03;     0.40;  -0.53; 103.2447; 0.681; 4.54e-05; 75.42;        32.48;   True;   True;    2; HR0002,HR000D
2459439.315856503323; 2021-08-12 19:34:50.001887;     7;  PER; 140.011693; 269.670381;  47.00753;  0.2461; +58.14701;  0.3077;  62.52429;  0.2817; +38.73990;  0.2513;  56.38108;  0.6668;  84.27404;  0.2480; +65.10444;  0.2131;  38.89745;  0.7246;    3.726987;  0.5459;   0.746022;  0.0578; 110.984144;  0.1365; 147.771736;   1.4530; 140.009592;   0.0000; 287.781328;  1.4530;   0.946573;  0.0023;  32.224220;  1.4530;   3.268620;  1.7160;    6.507401;  1.0897;   0.136983;  0.0541;   7.195110;  1.4331;   0.992758;  0.3322;  46.25862;  0.2621; +58.68610;  0.2922;  22.53601;  0.2729;  21.26244;  0.1956;  57.57760;  0.6538;  60.27688;  0.7221;    46.672715;  0.0009;    14.484671;  0.0001; 108.9279;    0.08;    46.531906;  0.0008;    14.400197;  0.0001; 102.2571;    0.06;     0.33;  +1.78; 107.0685; 0.279; 2.74e-06; 25.81;        18.28;   True;   True;    2; HR000W,HR001D
2459439.315879515372; 2021-08-12 19:34:51.990128;     7;  PER; 140.011715; 270.154178;  47.17543;  0.1765; +57.72769;  0.2504;  62.44564;  0.2056; +38.31566;  0.2136;  59.27257;  0.0650;  81.22418;  0.5576; +62.99824;  0.1830;  41.24511;  0.1747;   17.785859;  5.1123;   0.946272;  0.0156; 113.547319;  0.2739; 151.997508;   0.2004; 140.009358;   0.0000; 292.006866;  0.2004;   0.955601;  0.0010;  27.998420;  0.2004;   0.260017;  0.1174;   34.616117; 10.2253;   0.013140;  0.0059;  75.008919; 33.5217;  -0.185048;  0.0810;  46.44591;  0.1756; +58.22975;  0.2474;  22.53886;  0.2045;  18.35220;  0.1800;  60.42480;  0.0638;  58.79289;  0.0257;    43.873370;  0.0002;    14.968975;  0.0008; 112.6702;    0.07;    43.631123;  0.0001;    14.830576;  0.0005; 102.9164;    0.04;     0.52;  -0.66; 107.1438; 0.567; 5.24e-05; 87.69;        65.76;   True;   True;    3; HR0002,HR000D,HR000N
